2025-05-20 13:39:35,960 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:41:34,727 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:41:41,856 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:42:29,668 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:42:32,183 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:43:25,546 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:43:28,290 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:45:06,376 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:45:09,492 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:46:33,711 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:46:36,759 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:48:28,543 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:48:47,992 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:48:51,690 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:48:57,664 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:49:02,749 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:49:08,783 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:49:14,831 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:51:47,413 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:00,791 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:08,180 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:18,911 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:36,713 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:40,446 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 13:52:52,838 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2025-05-20 18:14:21,312 - LingYun_Logger - WARNING - 网络请求失败 ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
